Args parsed
Training student without distillation (Full data but without smote)

Validating the train path:/home/micml/25m0764/MIC_project/final_dataset/dataset_600/train
Validating the train path:/home/micml/25m0764/MIC_project/final_dataset/dataset_600/test
Train size: 2833
Test size: 828
Creating model: teacher_model
Model created
The teacher_model has number of params = 3948677
Using weighted loss function for training
Starting training
Epoch [98/200], Training Loss: 0.5645, Training Accuracy: 73.17%, Validation Loss: 0.8275, Validation Accuracy: 75.00%
Epoch [99/200], Training Loss: 0.5796, Training Accuracy: 73.74%, Validation Loss: 0.5241, Validation Accuracy: 83.33%
Epoch [100/200], Training Loss: 0.5707, Training Accuracy: 74.73%, Validation Loss: 0.4553, Validation Accuracy: 84.66%
Epoch [101/200], Training Loss: 0.5185, Training Accuracy: 73.70%, Validation Loss: 0.5159, Validation Accuracy: 81.40%
Epoch [102/200], Training Loss: 0.5141, Training Accuracy: 75.57%, Validation Loss: 0.6033, Validation Accuracy: 80.92%
Epoch [103/200], Training Loss: 0.5068, Training Accuracy: 75.57%, Validation Loss: 0.5769, Validation Accuracy: 80.68%
Epoch [104/200], Training Loss: 0.5168, Training Accuracy: 76.03%, Validation Loss: 0.4796, Validation Accuracy: 83.82%
Epoch [105/200], Training Loss: 0.5332, Training Accuracy: 75.36%, Validation Loss: 0.6748, Validation Accuracy: 78.99%
Epoch [106/200], Training Loss: 0.5310, Training Accuracy: 74.73%, Validation Loss: 0.5567, Validation Accuracy: 80.92%
Epoch [107/200], Training Loss: 0.5503, Training Accuracy: 76.03%, Validation Loss: 0.7275, Validation Accuracy: 78.86%
Epoch [108/200], Training Loss: 0.5248, Training Accuracy: 76.56%, Validation Loss: 0.3752, Validation Accuracy: 88.29%
----------- saving --------------
Epoch [109/200], Training Loss: 0.4823, Training Accuracy: 77.80%, Validation Loss: 0.4918, Validation Accuracy: 83.57%
Epoch [110/200], Training Loss: 0.4926, Training Accuracy: 77.34%, Validation Loss: 0.5918, Validation Accuracy: 80.07%
Epoch [111/200], Training Loss: 0.5261, Training Accuracy: 77.06%, Validation Loss: 0.3771, Validation Accuracy: 87.80%
Epoch [112/200], Training Loss: 0.5229, Training Accuracy: 76.31%, Validation Loss: 0.5963, Validation Accuracy: 78.62%
Epoch [113/200], Training Loss: 0.5039, Training Accuracy: 76.21%, Validation Loss: 0.5363, Validation Accuracy: 83.33%
Epoch [114/200], Training Loss: 0.4959, Training Accuracy: 75.68%, Validation Loss: 0.5739, Validation Accuracy: 82.73%
Epoch [115/200], Training Loss: 0.5316, Training Accuracy: 75.86%, Validation Loss: 0.6568, Validation Accuracy: 75.97%
Epoch [116/200], Training Loss: 0.4832, Training Accuracy: 76.88%, Validation Loss: 0.7746, Validation Accuracy: 74.76%
Epoch [117/200], Training Loss: 0.4781, Training Accuracy: 76.56%, Validation Loss: 0.4648, Validation Accuracy: 83.09%
Epoch [118/200], Training Loss: 0.4573, Training Accuracy: 78.01%, Validation Loss: 0.5297, Validation Accuracy: 83.33%
Epoch [119/200], Training Loss: 0.4991, Training Accuracy: 77.52%, Validation Loss: 0.5378, Validation Accuracy: 81.88%
Epoch [120/200], Training Loss: 0.4369, Training Accuracy: 78.86%, Validation Loss: 0.6252, Validation Accuracy: 81.64%
Epoch [121/200], Training Loss: 0.4524, Training Accuracy: 79.10%, Validation Loss: 0.5148, Validation Accuracy: 84.06%
Epoch [122/200], Training Loss: 0.4615, Training Accuracy: 77.90%, Validation Loss: 0.6570, Validation Accuracy: 78.86%
Epoch [123/200], Training Loss: 0.4890, Training Accuracy: 77.44%, Validation Loss: 0.7946, Validation Accuracy: 75.00%
Epoch [124/200], Training Loss: 0.4462, Training Accuracy: 78.50%, Validation Loss: 0.7687, Validation Accuracy: 77.90%
Epoch [125/200], Training Loss: 0.5153, Training Accuracy: 76.77%, Validation Loss: 1.0233, Validation Accuracy: 73.19%
Epoch [126/200], Training Loss: 0.4492, Training Accuracy: 78.72%, Validation Loss: 0.5781, Validation Accuracy: 82.61%
Epoch [127/200], Training Loss: 0.4188, Training Accuracy: 80.52%, Validation Loss: 0.6490, Validation Accuracy: 81.76%
Epoch [128/200], Training Loss: 0.4320, Training Accuracy: 79.32%, Validation Loss: 0.5876, Validation Accuracy: 82.13%
Epoch [129/200], Training Loss: 0.4619, Training Accuracy: 77.97%, Validation Loss: 0.6200, Validation Accuracy: 79.11%
Epoch [130/200], Training Loss: 0.4134, Training Accuracy: 80.90%, Validation Loss: 0.4957, Validation Accuracy: 84.78%
